,text,Label,preprocess_data
875,"tham gia chơi game, nhận ngay 1 tháng xem tv360 miễn phí: https: //snssdk1180. onelink. me/bauo/1lclf5oi",0.0,tham_gia chơi game nhận ngay 1 tháng xem tv360 miễn_phí https snssdk1180 onelink mebauo1lclf5oi
876,nhìn đức đá nghĩ về điện thoại việt nam chỉ biết cười: ))),2.0,nhìn đức đá nghĩ về điện_thoại việt_nam chỉ biết cười
877,ronaldo quá đen,0.0,ronaldo quá đen
878,đội lớn dấu bài để vào trong đội nhỏ chơi hết mình,0.0,đội lớn dấu bài để vào trong đội nhỏ chơi hết_mình
879,để ý ông lukaku này giống oai ác trong vượt ngục thế,2.0,để_ý ông lukaku này giống oai ác trong vượt_ngục thế
880,bình luận viên nghe quá chán,2.0,bình_luận_viên nghe quá chán
881,các bạn đừng hỏi tại sao ronaldo lại toả ra bức xúc khi mình bỏ lỡ cơ hội như vậy sau này bạn già các bạn sẽ hiểu,0.0,các bạn đừng hỏi tại_sao ronaldo lại toả ra bức_xúc khi mình bỏ lỡ_cơ hội như_vậy sau_này bạn già các bạn sẽ hiểu
882,euro năm nay chất lượng giải đấu tồi thật. vòng bảng xem trận nào cũng thấy đá như đá vào mắt người xem,2.0,euro năm nay chất_lượng giải đấu tồi thật vòng bảng xem trận nào cũng thấy đá như đá vào mắt người xem
883,ronaldo suốt ngày đòi pen thế,2.0,ronaldo suốt ngày đòi pen thế
884,hay lắm bdn ơi,1.0,hay lắm bdn ơi
885,"bình luận viên đỉnh nhất, cháy và cảm xúc nhất tv360. mấy ông bình luận viên khác rõ chán",1.0,bình_luận_viên đỉnh nhất cháy và cảm_xúc nhất tv360 mấy ông bình_luận_viên khác rõ chán
886,coi 2light mấy qủa tạt cánh đánh đầu khó chịu thật sự.,2.0,coi 2light mấy qủa tạt cánh đánh_đầu khó_chịu thật_sự
887,mấy khứa serbia muốn bị loại hay sao dứt điểm nhẹ vậy,2.0,mấy khứa serbia muốn bị loại hay sao dứt_điểm nhẹ vậy
888,thay kante ra cái là đá đần,2.0,thay kante ra cái là đá đần
889,bình luận viên nhạt nhẽo quá không vui tai,2.0,bình_luận_viên nhạt_nhẽo quá không vui_tai
890,may không thức xem,0.0,may không thức xem
891,trận này xứng đáng để coi,1.0,trận này xứng_đáng để coi
892,theo lịch sử uro thì anh đã có dấu hiệu của nhà vô địch,1.0,theo lịch_sử uro thì anh đã có dấu_hiệu của nhà vô_địch
893,bồ vô địch 99% nếu pháp và anh đá như này,0.0,bồ vô_địch 99 nếu pháp và anh đá như này
894,tuyển anh thiếu tiền vệ mà ông thầy cho trent lên đá tiền vệ là quá sai lầm rồi,2.0,tuyển anh thiếu tiền_vệ mà ông thầy cho trent lên đá tiền_vệ là quá sai_lầm rồi
895,romania pricing qua hay,1.0,romania pricing qua hay
896,năm nay đúng nhiều pha phản lưới nhà thật,0.0,năm nay đúng nhiều pha phản lưới nhà thật
897,"siêu tiền đạo lê quan cũng giống há đần, cầu thủ lớn của những trận cầu nhỏ.",1.0,siêu tiền_đạo lê_quan cũng giống há đần cầu_thủ lớn của những trận cầu nhỏ
898,mới xong trận có liền thế,0.0,mới xong trận có liền thế
899,nghe cứ tưởng musiala làm cú đúp cơ,1.0,nghe cứ tưởng musiala làm cú đúp cơ
900,ai bắt anh thì lỏ luôn cơ hội vậy mà không vô được bàn thua 2,2.0,ai bắt anh thì lỏ luôn cơ_hội vậy_mà không vô được bàn thua 2
901,bình luận viên chán quá,2.0,bình_luận_viên chán quá
902,16tuổi 338 ngày là bao nhiêu tuổi,0.0,16tuổi 338 ngày là bao_nhiêu tuổi
903,thủ môn nào cũng đẳng cấp mà costa xuất thần quá!,1.0,thủ_môn nào cũng đẳng_cấp mà costa xuất thần quá
904,múa quá rồi,0.0,múa quá rồi
905,"trọng tài đang tham khảo var, và var đang tham khảo kèo",0.0,trọng_tài đang tham_khảo var và var đang tham_khảo kèo
906,tây mua nhà chứ tây bán nhà gì nữa,2.0,tây mua nhà chứ tây bán nhà gì nữa
907,"sai lầm lớn nhất của spaletti là không gọi veratti. mất tonali vì cá độ đã đành. verrat mới 32 tuổi, thu hồi bóng hay. tuyến giữa sẽ không lép vế trước tây ban nha.",0.0,sai_lầm lớn nhất của spaletti là không gọi veratti mất tonali vì cá_độ đã_đành verrat mới 32 tuổi thu_hồi bóng hay tuyến giữa sẽ không lép_vế trước tây_ban_nha
908,đức,1.0,đức
909,má nó đánh đầu phản lưới như kiễu cung thành đối thủ vậy.,1.0,má nó đánh_đầu phản lưới như kiễu cung thành đối_thủ vậy
910,tây ban nhé vượt qua vòng bảng từ trận trước rồi cơ mà: ))),0.0,tây ban nhé vượt qua vòng bảng từ trận trước rồi cơ_mà
911,2 chiếc giày vàng,0.0,2 chiếc giày vàng
912,nhà cái sờ tay vào à; )),0.0,nhà_cái sờ tay vào à
913,"hom qua minh bắt duoc keo tri so 11 gan 100 cu, cam trực tuyến svn",0.0,hom qua minh bắt duoc keo tri so 11 gan 100 cu cam trực_tuyến svn
914,thầy ông nội cùi bắp,0.0,thầy ông nội cùi bắp
915,đức không yếu căn bản thuỵ sĩ chơi quá chắc và mạch lạc trận này tạm chấp nhận được,2.0,đức không yếu căn_bản thuỵ_sĩ chơi quá chắc và mạch_lạc trận này tạm chấp_nhận được
916,trận này hay thật sự,1.0,trận này hay thật_sự
917,mới vô nghe bình luận viên tưởng anh độ,0.0,mới vô nghe bình_luận_viên tưởng anh độ
918,tbn đá như này thì chắc chắn vào chơi chung kết,1.0,tbn đá như này thì chắc_chắn vào chơi chung_kết
919,trận đấu đá chán thật nhưng ít ra thì còn hay hơn anh,1.0,trận đấu_đá chán thật nhưng ít_ra thì còn hay hơn_anh
920,messi: 789 bàn sau 1000 trận,1.0,messi 789 bàn sau 1000 trận
921,"de bruyne chỉ ước rằng haaland nhập tịch bỉ mà thôi, để đá thay cho anh cu",1.0,de bruyne chỉ ước rằng haaland nhập_tịch bỉ mà thôi để đá thay cho anh cu
922,nó dien thôi,0.0,nó dien thôi
923,lukaku đá như bán độ,2.0,lukaku đá như bán_độ
924,mặc dù ích kỷ nhưng tao vẫn muốn ronaldo trên sân không muốn anh giải nghệ đâu: ((,0.0,mặc_dù ích_kỷ nhưng tao vẫn muốn ronaldo trên sân không muốn anh giải_nghệ đâu
925,năm nay chắc chồng đức với tbn,1.0,năm nay chắc chồng đức với tbn
926,fan ronaldo năm 2004,0.0,fan ronaldo năm 2004
927,euro kỳ này.. toàn làm cho khán giả.. cổ động viên.. ngập tràn cảm xúc.. phút bù giờ.. bóng đá đúng thật là vua thể thao,1.0,euro kỳ này toàn làm cho khán_giả cổ_động_viên ngập_tràn cảm_xúc phút bù giờ bóng_đá đúng thật là vua thể_thao
928,tí nữa bay cái nhà,0.0,tí nữa bay cái nhà
929,qua trận này với trận của anh thì thật sự rice không có tuổi với tiền vệ hay nhất hiện tại,2.0,qua trận này với trận của anh thì thật_sự rice không có tuổi với tiền_vệ hay nhất hiện_tại
930,có mỗi 3-1 mà mưa bàn thắng gì,0.0,có mỗi 31 mà mưa bàn thắng gì
931,ông thế quả penanty cuối là như nào vậy,0.0,ông thế quả penanty cuối là như nào vậy
932,griezman thì vẫn gỗ. depay thì bỏ mẹ cái khăn ra đi đá như cc. var + antony taylor thì tranh cãi là chuyện bt,2.0,griezman thì vẫn gỗ depay thì bỏ_mẹ cái khăn ra đi đá như cc var antony taylor thì tranh_cãi là chuyện bt
933,"nói chung ở cái đất việt nam! này trừ mấy thằng tuyển thủ ra. còn lại tụi thách đấu nó ỉa lên đầu. không hiểu tụi thách đấu hay tụi mõm việt nam nó cố chấp vì điểu gì nữa. mọi người cứ nói nó chơi game bằng kỹ năng nhưng cái top mạnh nhất là cái top 2 người, nó là người kêu gọi rừng cực tốt, dịch chuyển hay nhất việt nam, hack farm hay nhất việt nam và tư duy đó thể hiện qua quả cầu sấm vào 2 con lính thấp máu đó. thân!",0.0,nói_chung ở cái đất việt_nam này trừ mấy thằng tuyển_thủ ra còn lại tụi thách đấu nó ỉa lên đầu không hiểu tụi thách đấu hay tụi mõm việt_nam nó cố_chấp vì điểu gì nữa mọi người cứ nói nó chơi game bằng kỹ_năng nhưng cái top mạnh nhất_là cái top 2 người nó là người kêu_gọi rừng cực tốt dịch_chuyển hay nhất việt_nam hack farm hay nhất việt_nam và tư_duy đó thể_hiện qua quả cầu sấm vào 2 con lính thấp máu đó thân
934,xin tên anh blv. quá cháy!!! có cảm giác bình luận viên bắt tài,1.0,xin tên anh blv quá cháy có cảm_giác bình_luận_viên bắt tài
935,trận này tỷ số dự đoán 3_1 chuẩn cửa,0.0,trận này tỷ_số dự_đoán 3 1 chuẩn cửa
936,"nghe quang huy bình buồn ngủ luôn, không có tí lôi cuốn nào",0.0,nghe quang huy bình buồn_ngủ luôn không có tí lôi_cuốn nào
937,thằng serbia bị loại rồi... vui quá...,0.0,thằng serbia bị loại rồi vui quá
938,siuuuuuuuuuuuu <3,1.0,siuuuuuuuuuuuu 3
939,"phản xạ thủ môn pha cuối khét thê, trái đó vô nữa coi thêm 30p nưa mới sướng",1.0,phản_xạ thủ_môn pha cuối khét thê trái đó vô nữa coi thêm 30p nưa mới sướng
940,tao chỉ để ý con bé cầm bóng thôi,0.0,tao chỉ để_ý con_bé cầm bóng thôi
941,bình luận kìa,0.0,bình_luận kìa
942,"tuyển pháp thì có dembele chơi dưới trung bình, hà lan thì có bố depay. hai bố đá còn tệ hơn cả bán độ ấy coi trông buồn cười vãi",2.0,tuyển pháp thì có dembele chơi dưới trung_bình hà_lan thì có bố depay hai bố đá còn tệ hơn cả bán_độ ấy coi trông buồn_cười vãi
943,var lại theo nhà cái nên nó sẽ soi bỉ bằng mọi giá. xem vui thôi đừng cá cược xong lại nhảy cầu,0.0,var lại theo nhà_cái nên nó sẽ soi bỉ bằng mọi giá xem vui thôi đừng cá_cược xong lại nhảy_cầu
944,trận này lukaku đá quá hay,1.0,trận này lukaku đá quá hay
945,tính ra hà lan vừa rồi xếp thứ 3 có khi lại ngon hơn về nhất bảng nhỉ,1.0,tính ra hà_lan vừa_rồi xếp thứ 3 có_khi lại ngon hơn về nhất bảng nhỉ
946,bạn bóng tổ chức nó làm hết rồi như 1 bộ phim. bây giờ bóng đá kinh doanh những cầu thủ là diễn viên và fifa là đạo diễn người chơi là khán giả.,0.0,bạn bóng tổ_chức nó làm hết rồi như 1 bộ phim bây_giờ bóng_đá kinh_doanh những cầu_thủ là diễn_viên và fifa là đạo_diễn người chơi là khán_giả
947,mình xem được gần 20p sau ngủ luôn. đá quá chán,2.0,mình xem được gần 20p sau ngủ luôn đá quá chán
948,italy đá kiểu gì vậy trời,2.0,italy đá kiểu gì vậy trời
949,"cứ đến mùa wc, euro lại phải nghe mấy ông vtv bình luận, nhà đài nên thêm tuỳ chọn tắt tiếng bình luận. chỉ nghe tiếng sân để người xem không bị tra tấn",0.0,cứ đến mùa wc euro lại phải nghe mấy ông vtv bình_luận nhà đài nên thêm tuỳ chọn tắt tiếng bình_luận chỉ nghe tiếng sân để người xem không bị tra_tấn
950,trận này trọng tài bắt pháp à việt vị nhé,0.0,trận này trọng_tài bắt pháp à việt_vị nhé
951,pha phản lưới nhà đẹp nhất euro 2024,2.0,pha phản lưới nhà đẹp nhất euro 2024
952,"tuyển anh sao chép cách của mu, coi ức chế bỏ. mẹ",2.0,tuyển anh sao_chép cách của mu coi ức_chế bỏ_mẹ
953,hungary mai tùa rồi,2.0,hungary mai tùa rồi
954,"hạnh phúc nhất của tôi được xem ronaldo đá là vui lắm rồi, cho dù anh ghi bàn hay không ghi bàn đi nữa",1.0,hạnh_phúc nhất của tôi được xem ronaldo đá là vui lắm rồi cho_dù anh ghi_bàn hay không ghi_bàn đi_nữa
955,phải nói là trận đấu này không may mắn cho tình dục chứ họ đã trên cơ hoàn toàn,1.0,phải nói là trận đấu này không may_mắn cho tình_dục chứ họ đã trên cơ hoàn_toàn
956,ronaldo tao 1 đời liêm khiết không cần ghi bàn thắng mà chuyền cho bru nổ,1.0,ronaldo tao 1 đời liêm_khiết không cần ghi_bàn thắng mà chuyền cho bru nổ
957,trận này quá hay 2 đội tuyển công liên tục xem rất sướng,1.0,trận này quá hay 2 đội_tuyển công liên_tục xem rất sướng
958,dembele đá lóng ngóng phế vãi,2.0,dembele đá lóng_ngóng phế vãi
959,bồ với ronaldo đá như này thì wc 2026 nằm trong tầm tay,1.0,bồ với ronaldo đá như này thì wc 2026 nằm trong tầm tay
960,để tựa đề không hay lắm quản trị viên ạ em thấy nhưng người xem lại highlights mà không bt kết quả trước thì hay hợn ạ,0.0,để tựa đề không hay lắm quản_trị_viên ạ em thấy nhưng người xem_lại highlights mà không bt kết_quả trước thì hay hợn ạ
961,coi bóng đá giờ chán hơn lúc xưa,2.0,coi bóng_đá giờ chán hơn lúc xưa
962,những trận bóng. chỉ mang tính chất minh hoạ. khi mà. chỉ mới những phút đầu của trận đấu đã có bàn thắng. nhưng suốt thời gian còn lại thì chỉ làm cho mấy anh tài. ra đảo ở,2.0,những trận bóng chỉ mang tính_chất minh_hoạ khi mà chỉ mới những phút đầu của trận đấu đã có bàn thắng nhưng suốt thời_gian còn lại thì chỉ làm cho mấy anh_tài ra đảo ở
963,mấy công ty cá độ nó xõ mũi hết,0.0,mấy công_ty cá_độ nó xõ mũi hết
964,trận này tỷ số dự đoán 3_1 chuẩn cửa,0.0,trận này tỷ_số dự_đoán 3 1 chuẩn cửa
965,trận này 7 rất được lòng nhm,1.0,trận này 7 rất được lòng nhm
966,ronaldo của tao vô địch. siuuuu,1.0,ronaldo của tao vô_địch siuuuu
967,chước đây tao đa cho hungary thì mạnh đấy giờ tạo nghỉ rồi thì yếu hẳn đi rồi,2.0,chước đây tao đa cho hungary thì mạnh đấy giờ tạo nghỉ rồi thì yếu hẳn đi rồi
968,mbappe trận sau đeo mặt ạ là chuẩn ninja rùa biết đâu phong độ lại lên như gvardiol wc2022,1.0,mbappe trận sau đeo mặt ạ là chuẩn ninja rùa biết_đâu phong_độ lại lên như gvardiol wc2022
969,14: 26 quả này thấy ngã hơi điêu nhỉ hay chỉ mỗi mình thấy vậy?,2.0,14 26 quả này thấy ngã hơi điêu nhỉ hay chỉ mỗi mình thấy vậy
970,"câu nói "" đời cha ăn mặn đời con khát nước "" có lẽ đúng với cha con nhà schmeichel",0.0,câu nói đời cha ăn mặn đời con khát nước có_lẽ đúng với cha_con nhà schmeichel
971,bọn anti sẽ bảo ronaldo không dám sút,0.0,bọn anti sẽ bảo ronaldo không dám sút
972,qua hay,1.0,qua hay
973,ủa alo 2: 19 “ bằng khả năng đánh hơi bàn thắng của mình thì harry kane đã cho thấy một sự thính nhậy …) anh bình luận viên đang ví như thần thánh nào vậy ạ,0.0,ủa alo 2 19 bằng khả_năng đánh_hơi bàn thắng của mình thì harry kane đã cho thấy một sự thính nhậy … anh bình_luận_viên đang ví_như thần_thánh nào vậy ạ
974,quả bóng cười … lukaku,2.0,quả bóng cười … lukaku
975,"toàn siêu phẩm và ông bình luận viên cũng siêu phẩm luôn, xem đã thật",1.0,toàn siêu phẩm và ông bình_luận_viên cũng siêu phẩm luôn xem đã thật
976,ronaldo,1.0,ronaldo
977,ngựa ông năm nay xuất hiện,1.0,ngựa ông năm nay xuất_hiện
978,"bình luận lửa thật, coi hấp dẫn theo luôn.",1.0,bình_luận lửa thật coi hấp_dẫn theo luôn
979,dần giấy,0.0,dần giấy
980,đội có 2 cu mà doku đá khéo quá phải chi lukaku múa được 1 góc của doku,1.0,đội có 2 cu mà doku đá khéo quá phải_chi lukaku múa được 1 góc của doku
981,"euro năm nay rất nhiều bàn thắng ở phút bù giờ đầy nghiệt ngã, croatia xách va li ở giây bù giờ cuối cùng đầy tiếc nuối",0.0,euro năm nay rất nhiều bàn thắng ở phút bù giờ đầy nghiệt_ngã croatia xách va_li ở giây bù giờ cuối_cùng đầy tiếc_nuối
982,toàn là sao. nhưng là sao cô đơn,0.0,toàn là sao nhưng là sao cô_đơn
983,bruno ít kỉ,2.0,bruno ít kỉ
984,tbn ép như bố đá với con vậy,1.0,tbn ép như bố đá với con vậy
985,bịp,2.0,bịp
986,khán giả mua vé vào xem thất vọng nhiều,2.0,khán_giả mua vé vào xem thất_vọng nhiều
987,ronaldo đá bày vài trăm cái nhà ha ha,2.0,ronaldo đá bày vài trăm cái nhà ha_ha
988,trận đấu hấp dẫn nhưng ông bình luận viên nói chưa trên mây,2.0,trận đấu hấp_dẫn nhưng ông bình_luận_viên nói chưa trên mây
989,chia điểm đúng rồi. 2 trận sau nhà cái mới gài kèo được chứ. chuẩn bị bán nhà nào anh em.,0.0,chia điểm đúng rồi 2 trận sau nhà_cái mới gài kèo được chứ chuẩn_bị bán nhà nào anh_em
990,alaba chân thương hả anh em,0.0,alaba chân thương hả anh_em
991,phí mất 1 bộ phim trưởng hay,0.0,phí mất 1 bộ phim trưởng hay
992,pháp cao to mà không biết tạt cánh đánh đầu đá chán vãi cả lồn,2.0,pháp cao_to mà không biết tạt cánh đánh_đầu đá chán vãi cả lồn
993,chả khác buồi gì bố đá với con.. đá ý như con,2.0,chả khác buồi gì bố đá với con đá ý như con
994,wirt xứng đáng có qbv ha ha,1.0,wirt xứng_đáng có qbv ha_ha
995,cầu diễn hay thế,1.0,cầu diễn hay thế
996,lakachim. từ hồi ở mu giờ bạn vẫn vậy.,2.0,lakachim từ hồi ở mu giờ bạn vẫn vậy
997,kait gỗ thật,2.0,kait gỗ thật
998,"mấy thằng fan nửa mùa cứ râu con, ricon cãi nhau chí choé, chán phèo. hãy tận hưởng thời khắc chúng ta còn thấy ro si trên sân đi vì họ cũng sắp giải nghệ rùi. hãy hạnh phúc khi chúng ta được sống trong kỷ nguyên của 2 con người vĩ đại của tg bóng đá",2.0,mấy thằng fan nửa_mùa cứ râu con ricon cãi nhau chí_choé chán_phèo hãy tận_hưởng thời_khắc chúng_ta còn thấy ro si trên sân đi vì họ cũng sắp giải_nghệ rùi hãy hạnh_phúc khi chúng_ta được sống trong kỷ_nguyên của 2 con_người vĩ_đại của tg bóng_đá
999,đội tuyển anh buộc phải thắng ở trận cuối hoà hay thua là loại chắc,0.0,đội_tuyển anh buộc phải thắng ở trận cuối hoà hay thua là loại chắc
1000,lại là anh lukaku báo quá báo rồi,2.0,lại là anh lukaku báo quá báo rồi
1001,mẹ nó bịp!!!,2.0,mẹ nó bịp
1002,đánh tiếp xúc trên wep còn tin là bịp tới đá banh trước mắt vậy mà bịp vãi cả lồn,2.0,đánh tiếp_xúc trên wep còn tin là bịp tới đá banh trước_mắt vậy_mà bịp vãi cả lồn
1003,thủ môn siêu vô địch,1.0,thủ_môn siêu vô_địch
1004,phong long hơn cả kane,0.0,phong long hơn cả kane
1005,thích đội tuyển đan mạch vì có hojlund và erik sen,1.0,thích đội_tuyển đan_mạch vì có hojlund và erik sen
1006,"làm highlights chán thật, mặc dù đã xem full match, tình huống thẻ đó rồi có pen không chiếu cho khán giả xem, chả hiểu gì cả. mất đi luôn tình huống tạo nên cảm xúc lúc đó",2.0,làm highlights chán thật mặc_dù đã xem full match tình_huống thẻ đó rồi có pen không chiếu cho khán_giả xem chả hiểu gì cả mất đi luôn tình_huống tạo nên cảm_xúc lúc đó
1007,lukaku không mang giày là không liệt vị rồi,0.0,lukaku không mang giày là không liệt vị rồi
1008,"bình luận viên trận này xứng đáng 10đ, xem trận này nổi da gà liên tục",1.0,bình_luận_viên trận này xứng_đáng 10đ xem trận này nổi da_gà liên_tục
1009,thủ môn áo vàng 3 sọc đỏ auto thua,2.0,thủ_môn áo vàng 3 sọc đỏ auto thua
1010,cầu thủ quốc gia này có bộ răng đẹp quá. giống như vậy,1.0,cầu_thủ quốc_gia này có bộ răng đẹp quá giống như_vậy
1011,trận đấu hay,1.0,trận đấu hay
1012,"anh da đen là có thật, tội cho cu trận nào cũng đen: vậy",0.0,anh da đen là có thật tội cho cu trận nào cũng đen vậy
1013,siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu,1.0,siuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
1014,bình luận viên k+ khác bọt hẳn,1.0,bình_luận_viên k khác bọt hẳn
1015,liu men bl à?,0.0,liu men bl à
1016,lạy spaletti: )) đừng cho damiarn đá nữa: )) thà dùng 2 canh dimarco với dilorenzo cho rôi,0.0,lạy spaletti đừng cho damiarn đá nữa thà dùng 2 canh dimarco với dilorenzo cho rôi
1017,pháp đá cầu may là chính. nếu không may thì trận áo với trận bỉ này đã thua rồi.,2.0,pháp đá cầu_may là chính nếu không may thì trận áo với trận bỉ này đã thua rồi
1018,trận này hay thật,1.0,trận này hay thật
1019,bịp đụ mẹ mài,2.0,bịp đụ_mẹ mài
1020,nhánh đấu của đội tuyển anh đến giờ này là rất thuận lại để tiến vào trận chung kết euro năm nay và trở thành nhà vô địch,1.0,nhánh đấu của đội_tuyển anh đến giờ này là rất thuận lại để tiến vào trận chung_kết euro năm nay và trở_thành nhà vô_địch
1021,"lại xếp foden cánh trái, vãi cả lồn",2.0,lại xếp foden cánh trái vãi cả lồn
1022,hình như truram không hay bằng bố cuả anh ta,0.0,hình_như truram không hay bằng bố cuả anh ta
1023,sao để fan italy bl trận này v: ))),0.0,sao để fan italy bl trận này v
1024,có khả năng mua,2.0,có khả_năng mua
1025,bịppppp,2.0,bịppppp
1026,"hiểu sao ông nhõi đan mạch tạch từ vòng bảng wc r, ghi bàn xong toàn bỏ lỡ cơ hội thủ thì mỗi cái bài phạt góc của slovenia không hoá giải nổi",2.0,hiểu sao ông nhõi đan_mạch tạch từ vòng bảng wc r ghi_bàn xong toàn bỏ lỡ_cơ hội thủ thì mỗi cái bài phạt_góc của slovenia không hoá_giải nổi
1027,"bình luận viên như này là hay hơn mấy ông cũ rồi, có cảm xúc là được rồi",1.0,bình_luận_viên như này là hay hơn mấy ông cũ rồi có cảm_xúc là được rồi
1028,"ronaldo thật tuyệt vời, hãy so sánh ngừng tận hưởng đi",1.0,ronaldo thật tuyệt_vời hãy so_sánh ngừng tận_hưởng đi
1029,griezman phế vkđ,2.0,griezman phế vkđ
1030,"chân gỗ làm đội trưởng, ông này cháu thái giám nên được rất nhiều ơi ái",0.0,chân_gỗ làm đội_trưởng ông này cháu thái_giám nên được rất nhiều ơi ái
1031,vẫn còn được xem ronaldo ít nhất 1 trận đấu nữa,0.0,vẫn còn được xem ronaldo ít_nhất 1 trận đấu nữa
1032,"càng ngày càng thích cristiano ronaldo và lionel messi. mặc dù hâm mộ những người đá tiền vệ và trung vệ như zidane, lampard, terry",1.0,càng_ngày_càng thích cristiano ronaldo và lionel messi mặc_dù hâm_mộ những người đá tiền_vệ và trung_vệ như zidane lampard terry
1033,"húp được kèo dưới thì ngon r, chấp 1-1. 5 thì chịu, nhất ý nhì anh tam bỉ tứ pháp, cứ nhớ thế mà tránh",0.0,húp được kèo dưới thì ngon r chấp 11 5 thì chịu nhất ý nhì anh tam bỉ tứ pháp cứ nhớ thế_mà tránh
1034,"ronaldo quá vô duyên trong trận này, tội ảnh",2.0,ronaldo quá vô_duyên trong trận này tội ảnh
1035,"bịp vl, 1. 0 đênw hết trận",2.0,bịp vl 1 0 đênw hết trận
1036,kancute vẫn đẳng cấp,1.0,kancute vẫn đẳng_cấp
1037,xem bóng đá thôi đừng nhắc tới ct nữa mấy cha,0.0,xem bóng_đá thôi đừng nhắc tới ct nữa mấy cha
1038,a. robben phân thân ra malen với gakpo trong trận này. coi đã mắt thiệt,1.0,a robben phân_thân ra malen với gakpo trong trận này coi đã mắt thiệt
1039,"sao lại có cặp đôi bình luận viên ăn ý quá trời quá đất như vậy, tuyệt vời!",1.0,sao lại có cặp đôi bình_luận_viên ăn_ý quá_trời quá đất như_vậy tuyệt_vời
1040,kinh điển thế trận 1 chìu hả,0.0,kinh_điển thế_trận 1 chìu hả
1041,nhớ ngày xưa được nghe giọng quang huy đọc bl nghe sướng tai một giọng đọc truyền cảm hứng em rất thích giọng đọc của btv quang huy),1.0,nhớ ngày_xưa được nghe giọng quang huy đọc bl nghe sướng tai một giọng đọc truyền_cảm hứng em rất thích giọng đọc của btv quang huy
1042,thủ môn thổ nhĩ kì bán độ,2.0,thủ_môn thổ nhĩ kì bán_độ
1043,hay quá jude bellingham và harry kane,1.0,hay quá jude bellingham và harry kane
1044,"làm kèo, pháp đá ít nhất phải 2-0, pháp không giám suốt vào khung thành, nhà cái ăn nhẹ nhàn nữa tiền mà ăn cả thế giới.",2.0,làm kèo pháp đá ít_nhất phải 20 pháp không giám suốt vào khung_thành nhà_cái ăn nhẹ nhàn nữa tiền mà ăn cả thế_giới
1045,đội tuyển anh mà đã như c,2.0,đội_tuyển anh mà đã như c
1046,"chúc mừng đội tuyển, quân đội và nhân dân ukraina sẽ giành chiến thắng.",1.0,chúc_mừng đội_tuyển quân_đội và nhân_dân ukraina sẽ giành chiến_thắng
1047,trọng tài nhìn hao hao như ronaldo vậy,0.0,trọng_tài nhìn hao_hao như ronaldo vậy
1048,giải đấu lớn như này mà bình luận chả có hồn tý nào,2.0,giải đấu lớn như này mà bình_luận chả có hồn tý nào
1049,"trận đấu thủ tục thôi, quan trọng vô vòng trong gặp đội nào. tính toán hết rồi. ai kinh nghiệm coi lâu năm là hiểu!",0.0,trận đấu_thủ tục thôi quan_trọng vô vòng trong gặp đội nào tính_toán hết rồi ai kinh_nghiệm coi lâu năm là hiểu
1050,arnol mà đá cái gì,2.0,arnol mà đá cái gì
1051,đếu hiểu những ngày cửa nam nó đi xem các trận đấu nhé đá nhằm mục đích gì. vì chẳng có vẹo gì ấn tượng,2.0,đếu hiểu những ngày cửa nam nó đi xem các trận đấu nhé đá nhằm mục_đích gì vì chẳng có vẹo gì ấn_tượng
1052,bình luận viên nghiệp dư vãi đái,2.0,bình_luận_viên nghiệp_dư vãi đái
1053,"slovenia phòng thủ quá chắc, rất nhiều cơ hội nhưng đều lỡ, tuy vậy trận này tôi thấy vẫn rất hay",1.0,slovenia phòng_thủ quá chắc rất nhiều cơ_hội nhưng đều lỡ tuy_vậy trận này tôi thấy vẫn rất hay
1054,bình luận nghe chán tht,2.0,bình_luận nghe chán tht
1055,romania trận này đá trên cơ và hay quá,1.0,romania trận này đá trên cơ và hay quá
1056,pháp vô địch,1.0,pháp vô_địch
1057,trận đấu bịp dã man. sau trận này các cậu có 1 cục mà tôi cũng có một tí. vậy nhé!,1.0,trận đấu bịp dã_man sau trận này các cậu có 1 cục mà tôi cũng có một_tí vậy nhé
1058,phát xít ý vô địch ha ha,1.0,phát_xít ý vô_địch ha_ha
1059,cho anh em cần,0.0,cho anh_em cần
1060,gundogan chắc cũng nên tính là hàng mc chứ nhỉ? đệ ruột của pep mà: ))),0.0,gundogan chắc cũng_nên tính là hàng mc chứ nhỉ đệ ruột của pep mà
1061,phải công nhận xem euro hấp dẫn hơn những giải đấu khác vì cái đội đá không chênh lệch,1.0,phải công_nhận xem euro hấp_dẫn hơn những giải đấu khác vì cái đội đá không chênh_lệch
1062,trận thắng này làm cho. u đọng viên tình thần cho người dân và người lính cầu cho u được hoà bình,0.0,trận thắng này làm cho u đọng viên tình thần cho người_dân và người lính cầu cho u được hoà_bình
1063,"giroud đâu mà để thằng phế vật chân trái đá cắm thế, chuyền thọc chạy chỗ chán, làm tường cũng không luôn",2.0,giroud đâu mà để thằng phế vật chân trái đá cắm thế chuyền thọc chạy chỗ chán làm tường cũng không luôn
1064,lần cuối được xem ronaldo đá cho đội quốc gia. vì anh sẽ hết thời jui 2 năm nữa anh không đủ đá world cup nữa,1.0,lần cuối được xem ronaldo đá cho đội quốc_gia vì anh sẽ hết thời jui 2 năm nữa anh không đủ đá world_cup nữa
